Sample,PP,Length,Width
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],8.155,4.3
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],7.556,3.238
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],11.008,4.022
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],7.556,4.318
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],6.106,3.053
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],4.318,3.238
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],4.579,3.053
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],7.617,3.207
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],6.106,2.29
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],7.068,3.403
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],7.216,2.606
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],4.318,3.238
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],4.45,2.88
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],4.437,3.072
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],5.343,3.053
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],4.79,3.592
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],3.053,2.29
hFF4,POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],3.238,3.238
hFF4,POLYALKYLBENZENE,15.307,9.779
hFF4,POLYALKYLBENZENE,14.032,10.794
hFF4,POLYALKYLBENZENE,10.366,10.181
hFF4,POLYALKYLBENZENE,14.294,13.095
hFF4,POLYALKYLBENZENE,11.947,9.557
hFF4,POLYALKYLBENZENE,12.991,9.536
hFF4,POLYALKYLBENZENE,22.133,9.122
hFF4,POLYALKYLBENZENE,13.738,12.975
hFF4,POLYALKYLBENZENE,11.324,8.225
hFF4,POLYALKYLBENZENE,13.28,5.801
hFF4,POLYALKYLBENZENE,8.7,7.96
hFF4,POLYALKYLBENZENE,8.533,5.461
hFF4,POLYALKYLBENZENE,12.212,5.343
hFF4,POLYALKYLBENZENE,12.304,5.759
hFF4,POLYALKYLBENZENE,9.441,8.33
